group,source_region,target_region,task_key,hour,n_days,n_days_with_positive_daily_flow,mean_hourly_flow,median_hourly_flow,std_hourly_flow,zero_rate,mean_daily_profile_share,median_daily_profile_share,mean_pair_rate_among_linkable,median_pair_rate_among_linkable
normal_post_recovery,near,outer,near->outer,20,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.023809523809523808,0.0,0.006410256410256411,0.0
normal_post_recovery,near,outer,near->outer,21,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,22,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,near,outer,near->outer,23,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.05555555555555555,0.0,0.006944444444444444,0.0
normal_post_recovery,outer,core,outer->core,0,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,1,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05416666666666667,0.0,0.06018518518518518,0.0
normal_post_recovery,outer,core,outer->core,2,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.03333333333333333,0.0,0.041666666666666664,0.0
normal_post_recovery,outer,core,outer->core,3,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,4,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,5,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.03333333333333333,0.0,0.027777777777777776,0.0
normal_post_recovery,outer,core,outer->core,6,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.08750000000000001,0.0,0.125,0.0
normal_post_recovery,outer,core,outer->core,7,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,8,6,1,0.16666666666666666,0.0,0.408248290463863,0.8333333333333334,0.05555555555555555,0.0,0.03333333333333333,0.0
normal_post_recovery,outer,core,outer->core,9,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05416666666666667,0.0,0.08888888888888889,0.0
normal_post_recovery,outer,core,outer->core,10,6,2,0.5,0.0,0.8366600265340756,0.6666666666666666,0.13194444444444445,0.0,0.10000000000000002,0.0
normal_post_recovery,outer,core,outer->core,11,6,2,0.3333333333333333,0.0,0.5163977794943223,0.6666666666666666,0.05416666666666667,0.0,0.05714285714285714,0.0
normal_post_recovery,outer,core,outer->core,12,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
normal_post_recovery,outer,core,outer->core,13,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
