evaluation_id,evaluation_type,predictor_method,rounding_method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total_scored,predicted_total_scored,constraint_adjustment_count,max_constraint_adjustment,core_to_near_sse,core_to_outer_sse,near_to_core_sse,near_to_outer_sse,outer_to_core_sse,outer_to_near_sse
fold_04,rolling_7d,pair_hour_direction_scale_cv,paired,1008,1008,853.0657162615396,909.0,0.9017857142857143,0.5267857142857143,-0.12003968253968254,541.0,420.0,0,0.0,367.0,36.0,251.0,92.0,50.0,113.0
fold_04,rolling_7d,pair_hour_fixed085,independent,1008,1008,833.7386338141025,900.0,0.8928571428571429,0.5198412698412699,-0.1130952380952381,541.0,427.0,0,0.0,360.0,33.0,254.0,95.0,50.0,108.0
fold_04,rolling_7d,pair_hour_fixed085,paired,1008,1008,833.7386338141025,918.0,0.9107142857142857,0.5515873015873016,-0.057539682539682536,541.0,483.0,0,0.0,361.0,43.0,251.0,97.0,51.0,115.0
fold_04,rolling_7d,pair_hour_hier_tau_cv,independent,1008,1008,848.5393541584817,917.0,0.9097222222222222,0.5486111111111112,-0.09226190476190477,541.0,448.0,0,0.0,368.0,34.0,265.0,92.0,50.0,108.0
fold_04,rolling_7d,pair_hour_hier_tau_cv,paired,1008,1008,830.9524167883512,923.0,0.9156746031746031,0.6021825396825397,0.03273809523809524,541.0,574.0,0,0.0,347.0,40.0,256.0,105.0,50.0,125.0
fold_04,rolling_7d,pair_hour_hier_tau_scale_cv,independent,1008,1008,836.795344461038,902.0,0.8948412698412699,0.5337301587301587,-0.1130952380952381,541.0,427.0,0,0.0,356.0,34.0,262.0,92.0,50.0,108.0
fold_04,rolling_7d,pair_hour_hier_tau_scale_cv,paired,1008,1008,825.2372307643375,903.0,0.8958333333333334,0.5744047619047619,0.00496031746031746,541.0,546.0,0,0.0,335.0,40.0,257.0,97.0,51.0,123.0
fold_04,rolling_7d,pair_hour_mean,independent,1008,1008,839.9919871794872,922.0,0.9146825396825397,0.5535714285714286,-0.02976190476190476,541.0,511.0,0,0.0,371.0,40.0,254.0,97.0,50.0,110.0
fold_04,rolling_7d,pair_hour_mean,paired,1008,1008,839.9919871794872,968.0,0.9603174603174603,0.5952380952380952,0.03968253968253968,541.0,581.0,0,0.0,372.0,43.0,263.0,99.0,51.0,140.0
fold_04,rolling_7d,pair_recent14_fixed085,independent,1008,1008,833.7386338141025,900.0,0.8928571428571429,0.5198412698412699,-0.1130952380952381,541.0,427.0,0,0.0,360.0,33.0,254.0,95.0,50.0,108.0
fold_04,rolling_7d,pair_recent14_fixed085,paired,1008,1008,833.7386338141025,918.0,0.9107142857142857,0.5515873015873016,-0.057539682539682536,541.0,483.0,0,0.0,361.0,43.0,251.0,97.0,51.0,115.0
fold_04,rolling_7d,pair_recent14_hour,independent,1008,1008,839.9919871794872,922.0,0.9146825396825397,0.5535714285714286,-0.02976190476190476,541.0,511.0,0,0.0,371.0,40.0,254.0,97.0,50.0,110.0
fold_04,rolling_7d,pair_recent14_hour,paired,1008,1008,839.9919871794872,968.0,0.9603174603174603,0.5952380952380952,0.03968253968253968,541.0,581.0,0,0.0,372.0,43.0,263.0,99.0,51.0,140.0
fold_04,rolling_7d,present_shrunk20,independent,1008,1008,831.3589539857089,916.0,0.9087301587301587,0.5496031746031746,-0.02976190476190476,541.0,511.0,0,0.0,372.0,33.0,254.0,97.0,50.0,110.0
fold_04,rolling_7d,present_shrunk20,paired,1008,1008,831.3589539857089,949.0,0.941468253968254,0.5843253968253969,0.018849206349206348,541.0,560.0,0,0.0,372.0,43.0,262.0,98.0,51.0,123.0
fold_04,rolling_7d,present_shrunk20_direction_scale_cv,independent,1008,1008,847.1954119488535,901.0,0.8938492063492064,0.5208333333333334,-0.12003968253968254,541.0,420.0,0,0.0,360.0,33.0,254.0,92.0,50.0,112.0
fold_04,rolling_7d,present_shrunk20_direction_scale_cv,paired,1008,1008,829.1211129634123,943.0,0.935515873015873,0.5724206349206349,-0.008928571428571428,541.0,532.0,0,0.0,367.0,43.0,254.0,105.0,51.0,123.0
