date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-04,12,core,15,8,8,8,8,8,227,20.0,210,17,0,2,1.0
2018-01-04,12,near,28,3,3,3,2,3,39,7.0,36,3,0,2,1.0
2018-01-04,12,outer,5,2,2,2,2,2,132,66.0,117,15,0,2,1.0
2018-01-04,13,core,15,4,4,4,4,4,221,47.5,206,15,0,2,1.0
2018-01-04,13,near,29,5,5,5,4,5,201,10.0,191,10,0,2,1.0
2018-01-04,13,outer,6,2,1,1,1,1,70,35.0,67,3,0,2,0.5
2018-01-04,14,core,14,6,6,6,6,6,463,55.0,442,21,0,2,1.0
2018-01-04,14,near,31,7,7,6,6,6,479,55.0,455,24,0,2,0.8571428571428571
2018-01-04,14,outer,6,1,1,1,1,1,15,15.0,14,1,0,2,1.0
2018-01-04,15,core,16,9,9,9,9,9,1055,102.0,1014,41,0,2,1.0
2018-01-04,15,near,28,6,6,6,6,6,425,53.5,402,23,0,2,1.0
2018-01-04,15,outer,7,3,1,1,1,1,7,1.0,2,5,0,2,0.3333333333333333
2018-01-04,16,core,17,8,8,8,8,8,462,53.5,443,19,0,2,1.0
2018-01-04,16,near,29,6,5,4,4,4,315,46.0,299,16,0,2,0.6666666666666666
2018-01-04,16,outer,6,2,1,1,1,1,238,119.0,228,10,0,2,0.5
2018-01-04,17,core,14,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-04,17,near,28,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-04,17,outer,4,1,1,1,1,1,208,208.0,202,6,0,2,1.0
2018-01-04,18,core,15,5,5,5,4,5,325,90.0,310,15,0,2,1.0
2018-01-04,18,near,32,4,4,4,4,4,422,123.0,406,16,0,2,1.0
2018-01-04,18,outer,4,1,0,0,0,0,1,1.0,1,0,0,1,0.0
2018-01-04,19,core,18,9,9,9,9,9,357,45.0,342,15,0,2,1.0
2018-01-04,19,near,33,9,9,9,9,9,617,73.0,593,24,0,2,1.0
2018-01-04,19,outer,5,2,1,1,1,1,112,56.0,107,5,0,2,0.5
2018-01-04,20,core,14,1,1,1,1,1,63,63.0,60,3,0,2,1.0
2018-01-04,20,near,28,1,1,1,1,1,8,8.0,7,1,0,2,1.0
2018-01-04,20,outer,7,3,3,2,2,2,111,42.0,104,7,0,2,0.6666666666666666
2018-01-04,21,core,14,3,3,3,3,3,540,170.0,518,22,0,2,1.0
2018-01-04,21,near,28,2,2,2,2,2,64,32.0,60,4,0,2,1.0
2018-01-04,21,outer,6,1,1,1,1,1,22,22.0,0,22,0,1,1.0
2018-01-04,22,core,14,6,6,6,6,6,302,52.0,287,15,0,2,1.0
2018-01-04,22,near,28,2,2,2,2,2,24,12.0,22,2,0,2,1.0
2018-01-04,22,outer,4,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-04,23,core,14,10,10,10,10,10,441,47.0,424,17,0,2,1.0
2018-01-04,23,near,31,4,4,4,4,4,104,30.0,100,4,0,2,1.0
2018-01-04,23,outer,5,1,1,1,1,1,94,94.0,90,4,0,2,1.0
2018-01-05,0,core,14,5,5,5,5,5,291,47.0,278,13,0,2,1.0
2018-01-05,0,near,30,4,4,4,4,4,217,40.0,207,10,0,2,1.0
2018-01-05,0,outer,6,1,1,1,1,1,142,142.0,138,4,0,2,1.0
2018-01-05,1,core,14,4,4,4,4,4,375,76.0,361,14,0,2,1.0
2018-01-05,1,near,28,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-05,1,outer,6,1,1,1,1,1,112,112.0,104,8,0,2,1.0
2018-01-05,2,core,17,10,10,10,10,10,801,60.5,768,33,0,2,1.0
2018-01-05,2,near,29,3,3,3,3,3,203,78.0,194,9,0,2,1.0
2018-01-05,2,outer,5,1,1,1,1,1,10,10.0,0,10,0,1,1.0
2018-01-05,3,core,18,10,10,10,9,10,585,57.0,558,27,0,2,1.0
2018-01-05,3,near,28,4,4,4,4,4,330,80.5,316,14,0,2,1.0
2018-01-05,3,outer,5,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-05,4,core,15,4,3,3,3,3,120,27.5,114,6,0,2,0.75
2018-01-05,4,near,26,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-05,4,outer,5,1,1,1,1,1,18,18.0,18,0,0,1,1.0
2018-01-05,5,core,15,3,3,3,3,3,353,92.0,336,17,0,2,1.0
2018-01-05,5,near,27,2,2,2,2,2,115,57.5,110,5,0,2,1.0
2018-01-05,5,outer,5,1,1,1,1,1,71,71.0,69,2,0,2,1.0
2018-01-05,6,core,16,10,10,10,10,10,1639,167.5,1565,74,0,2,1.0
2018-01-05,6,near,31,4,4,3,3,3,150,28.0,144,6,0,2,0.75
2018-01-05,6,outer,4,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-05,7,core,14,10,10,10,10,10,974,78.5,938,36,0,2,1.0
2018-01-05,7,near,33,6,6,6,6,6,343,62.0,331,12,0,2,1.0
2018-01-05,7,outer,4,1,1,1,1,1,248,248.0,239,9,0,2,1.0
