fold_id,training_policy,method,component_type,component,n_rows,sse_float,sse_rounded,mae_rounded,mean_bias_rounded
fold_02,exclude_outage_severe,dow_hour_mean,region,core,168,5282.5,5342.0,4.654761904761905,3.869047619047619
fold_02,exclude_outage_severe,dow_hour_mean,region,near,168,2282.75,2279.0,2.9226190476190474,2.4226190476190474
fold_02,exclude_outage_severe,dow_hour_mean,region,outer,168,422.75,428.0,1.1785714285714286,0.7142857142857143
fold_02,exclude_outage_severe,dow_hour_mean,validation_quality,reduced,72,965.0,965.0,2.7083333333333335,1.2916666666666667
fold_02,exclude_outage_severe,dow_hour_mean,validation_quality,severe,144,1717.25,1784.0,2.5277777777777777,2.236111111111111
fold_02,exclude_outage_severe,dow_hour_mean,validation_quality,outage,288,5305.75,5300.0,3.1666666666666665,2.6458333333333335
fold_02,exclude_outage_severe,recent_7d_hour,region,core,168,3775.2857142857147,3795.0,4.041666666666667,3.4345238095238093
fold_02,exclude_outage_severe,recent_7d_hour,region,near,168,1548.4285714285713,1583.0,2.5892857142857144,2.1964285714285716
fold_02,exclude_outage_severe,recent_7d_hour,region,outer,168,339.42857142857144,371.0,1.1607142857142858,0.5654761904761905
fold_02,exclude_outage_severe,recent_7d_hour,validation_quality,reduced,72,613.408163265306,626.0,2.3333333333333335,1.0
fold_02,exclude_outage_severe,recent_7d_hour,validation_quality,severe,144,1482.9591836734694,1513.0,2.4930555555555554,2.1875
fold_02,exclude_outage_severe,recent_7d_hour,validation_quality,outage,288,3566.775510204082,3610.0,2.7152777777777777,2.2708333333333335
fold_02,exclude_outage_severe,recent_14d_hour,region,core,168,4148.347107438016,4153.0,4.279761904761905,3.767857142857143
fold_02,exclude_outage_severe,recent_14d_hour,region,near,168,1649.297520661157,1606.0,2.5833333333333335,2.3214285714285716
